จำนวนรถที่จดทะเบียนสะสม  ณ  วันที่ 30 ธันวาคม 2560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Vehicle Registered in Thailand as of 31 December 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (คัน : Unit) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ประเภทรถ , ทั่วประเทศ , กรุงเทพฯ , ส่วนภูมิภาค ,รวมภาคกลาง,ชัยนาท,สิงห์บุรี,ลพบุรี,อ่างทอง,สระบุรี, พระนครศรีอยุธยา,ปทุมธานี,นนทบุรี,สมุทรปราการ,รวมภาคตะวันออก,นครนายก,ปราจีนบุรี,ฉะเชิงเทรา,ชลบุรี,ระยอง,จันทบุรี,ตราด,สระแก้ว,รวมภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,ยโสธร,อุบลราชธานี,ศรีสะเกษ,บุรีรัมย์,นครราชสีมา,สุรินทร์,อำนาจเจริญ,หนองบัวลำภู,บึงกาฬ,หนองคาย,เลย,อุดรธานี,นครพนม,สกลนคร,ขอนแก่น,กาฬสินธุ์,มหาสารคาม,ร้อยเอ็ด,มุกดาหาร,รวมภาคเหนือ,เชียงราย,แม่ฮองสอน,เชียงใหม่,พะเยา,น่าน,ลำพูน,ลำปาง,แพร่,อุตรดิตถ์,สุโขทัย,ตาก,พิษณุโลก,กำแพงเพชร,พิจิตร,เพชรบูรณ์,นครสวรรค์,อุทัยธานี,รวมภาคตะวันตก,สุพรรณบุรี,กาญจนบุรี,นครปฐม,ราชบุรี,สมุทรสาคร,สมุทรสงคราม,เพชรบุรี,ประจวบคีรีขันธ์,รวมภาคใต้,ชุมพร,ระนอง,สุราษฎร์ธานี,พังงา,นครศรีธรรมราช,กระบี่,ภูเก็ต,พัทลุง,ตรัง,สงขลา,สตูล,ปัตตานี,ยะลา,นราธิวาส
 Type of Vehicle , Whole Kingdom , Bangkok , Regional ,Central,Chai Nat,Sing Buri,Lop Buri,Ang Thong,Saraburi,Ayuthaya,Pathum Thani,Nonthaburi,Samut Prakarn,Eastern,Nakhon Nayok,Prachin Buri,Chachoengsao,Chonburi,Rayong,Chanthaburi,Trad,Sra Kaew,North Eastern,Chaiyaphum,Yasothon,Ubon Ratchathani,Si Sa Ket,Buri Rum,Nakhon Ratchasima,Surin,Amnat Charoen,Nong Bua Lamphu,Bueng Kan,Nong Khai,Loei,Udon Thani,Nakhon Phanom,Sakon Nakhon,Khon Kaen,Kalasin,Maha Sarakham,Roi Et,Mukdahan,Northern,Chiang Rai,Mae Hong Son,Chiang Mai,Phayao,nan,Lamphun,Lampang,Phrae,Uttaradit,Sukhothai,Tak,Phitsanulok,Kamphaeng Phet,Phichit,Phetchabun,Nakhon Sawan,Uthai Thani,Western,Suphan Buri,Khanchanaburi,Nakhon Pathom,Ratchaburi,Samut Sakorn,Samut Songkram,Petchaburi,Prachuap Kiri Khan,Southern,Chumphon,Ranong,Surat Thani,Pang Nga,Nakhon Si Thammarat,Krabi,Phuket,Phatthalung,Trang,Songkhla,Satun,Pattani,Yala,Narathiwat
 รวมทั้งสิ้น ,"38,308,763","9,778,661","28,530,102","2,235,007","172,570","137,113","418,113","152,229","427,142","439,776","153,159","185,663","149,242","3,745,053","126,574","263,820","394,969","1,502,599","713,618","378,610","132,117","232,746","8,216,363","369,525","205,688","718,199","399,852","499,429","1,327,115","453,818","122,972","157,651","113,488","214,707","267,653","668,741","215,365","468,743","840,121","288,083","329,633","397,262","158,318","6,798,408","719,383","62,118","1,407,304","267,175","230,791","275,221","454,652","254,987","258,567","310,972","227,509","493,540","356,507","288,104","452,150","561,904","177,524","2,823,913","486,020","400,481","476,160","497,486","235,269","72,459","323,903","332,135","4,711,358","292,425","88,475","608,399","123,301","615,752","247,105","469,925","245,515","346,997","818,621","132,128","223,908","269,469","229,338"
 Grand Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ก. รวมรถตามกฎหมายว่าด้วยรถยนต์ ,"37,059,245","9,593,706","27,465,539","2,070,052","164,419","131,850","401,843","146,337","394,850","415,578","131,775","166,967","116,433","3,603,029","122,313","252,306","371,600","1,448,801","687,869","369,851","128,249","222,040","7,915,336","349,279","199,392","697,998","386,252","479,330","1,269,710","436,027","119,568","149,127","110,113","208,728","256,205","645,722","210,301","459,395","810,272","274,958","316,853","382,578","153,528","6,609,909","703,091","60,961","1,382,362","259,926","224,715","270,595","444,978","248,741","252,216","300,176","220,145","479,157","338,637","278,612","438,048","536,691","170,858","2,679,512","458,226","381,612","437,561","478,909","220,731","68,984","312,875","320,614","4,587,701","285,196","84,857","588,769","119,024","600,125","240,070","457,827","239,027","339,518","793,112","129,458","219,919","264,814","225,985"
     Total Vehicle under Motor Vehicle Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน Sedan (Not more than 7 Pass.),"8,740,890","4,242,556","4,498,334","410,929","25,051","21,699","73,194","26,532","72,634","83,875","29,262","63,124","15,558","659,904","22,429","44,395","60,673","276,397","148,335","64,685","14,633","28,357","1,147,322","36,628","24,869","107,039","40,439","49,035","225,024","47,633","13,362","17,666","12,182","28,325","35,227","104,610","21,759","53,936","175,341","37,301","41,157","53,124","22,665","1,057,859","111,054","2,605","315,670","34,027","28,152","30,436","77,614","36,740","33,351","34,301","26,326","99,950","42,460","28,100","46,795","85,716","24,562","363,321","56,922","59,597","72,696","66,234","8,018","8,967","50,013","40,874","858,999","37,689","11,522","117,553","13,928","105,294","49,257","113,025","35,645","54,303","218,588","17,087","27,136","35,934","22,038"
รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน Microbus & Passenger Van,"425,302","214,368","210,934","28,183","1,207","1,286","3,735","1,366","3,451","4,682","3,715","5,887","2,854","28,416","1,417","2,621","3,629","10,118","5,189","2,743",928,"1,771","58,198","2,663","1,674","4,744","3,144","3,191","9,366","3,359",900,840,598,"1,620","1,816","4,935","1,469","3,340","6,279","2,557","2,143","2,532","1,028","48,842","5,523",532,"12,036","1,578","1,336","2,272","4,093","1,540","1,880","2,244","1,852","3,659","1,839","1,712","2,208","3,488","1,050","19,091","3,498","2,794","3,698","3,305",970,657,"2,354","1,815","28,204","1,349",602,"3,711",773,"3,457","1,793","3,122","1,123","1,446","5,856",781,"1,499","1,422","1,270"
รย. 3 รถยนต์บรรทุกส่วนบุคคล Van & Pick Up,"6,437,291","1,322,841","5,114,450","391,562","32,540","22,444","75,850","29,805","71,589","72,584","30,163","39,843","16,744","622,129","24,271","51,661","70,856","191,637","122,777","88,174","23,741","49,012","1,582,838","66,846","43,663","138,903","85,293","83,473","236,647","76,103","25,253","37,515","20,322","38,229","64,063","120,879","32,753","85,261","181,109","69,848","65,217","79,927","31,534","1,258,713","134,714","7,442","241,980","51,012","49,449","60,743","88,849","50,490","43,399","54,930","41,241","87,238","68,687","48,983","96,788","98,479","34,289","497,741","94,545","75,696","99,313","83,557","11,401","12,552","56,883","63,794","761,467","76,621","15,812","120,186","17,796","111,340","52,303","42,974","39,770","54,467","126,400","15,980","31,971","33,358","22,489"
รย. 4 รถยนต์สามล้อส่วนบุคคล Motortricycle,"1,592",839,753,346, -   , -   ,6, -   ,2,7,4,307,20,41, -   , -   ,2,28,2,7,2, -   ,44,1, -   ,16, -   ,1,13, -   , -   , -   , -   , -   ,1,6,1, -   ,2, -   , -   ,1,2,166,5, -   ,58,18, -   ,2,3,2,4,1,3,53,1,3,9,4, -   ,32,4,3,10,1,3,1,7,3,124,2,1,6,1,10,7,6,3,56,27,2,2,1, -   
รย. 5 รถยนต์รับจ้างระหว่างจังหวัด Interprovincial Taxi, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
